lat_bin,lon_bin,rides,revenue,avg_price,avg_duration,unique_scooters,unique_users
52.485,13.4,1,10.44,10.44,3.666667,1,1
52.485,13.405000000000001,3,17.92,5.973333333333334,23.03333333333333,3,3
52.485,13.415000000000001,3,11.8,3.9333333333333336,18.066666666666666,3,3
52.485,13.42,121,585.27,4.836942148760331,16.534710743801654,90,107
52.485,13.425,473,2304.6,4.8723044397463005,11.11983790486258,299,393
52.485,13.43,980,4570.21,4.663479591836735,11.496258502040817,523,724
52.485,13.435,628,2829.4,4.505414012738854,11.660111458598726,364,471
52.485,13.44,388,2001.49,5.158479381443299,13.062027494845362,249,296
52.485,13.445,359,1767.46,4.923286908077994,11.791643470752089,216,268
52.485,13.450000000000001,23,101.83,4.427391304347826,20.719565217391303,20,22
52.485,13.455,7,35.730000000000004,5.104285714285715,17.98809514285714,6,6
52.485,13.48,3,13.229999999999999,4.409999999999999,20.861110999999998,3,3
52.485,13.5,1,10.57,10.57,17.216667,1,1
52.485,13.505,1,6.75,6.75,41.433333,1,1
52.49,13.285,1,5.02,5.02,23.916667,1,1
52.49,13.3,2,16.240000000000002,8.120000000000001,10.9666665,2,2
52.49,13.31,3,18.32,6.1066666666666665,26.28333333333333,3,3
52.49,13.315,23,102.76,4.467826086956522,28.66376808695652,22,21
52.49,13.32,6,29.060000000000002,4.843333333333334,20.25555566666667,5,6
52.49,13.325000000000001,16,99.93,6.245625,15.5124999375,14,16
52.49,13.33,32,186.91,5.8409375,14.7734374375,26,28
52.49,13.335,16,119.08,7.4425,17.70520825,15,16
52.49,13.34,20,103.91,5.1955,21.8916667,17,18
52.49,13.345,27,175.05,6.483333333333333,12.30370374074074,23,25
52.49,13.35,23,179.78,7.816521739130435,19.065217391304348,20,22
52.49,13.355,45,183.32999999999998,4.074,19.678518577777776,33,37
52.49,13.36,56,235.78,4.210357142857143,22.144642857142856,47,53
52.49,13.365,6,39.3,6.55,16.322222166666666,6,6
52.49,13.370000000000001,16,115.51,7.219375,19.096874875,14,15
52.49,13.375,19,94.32000000000001,4.96421052631579,19.874561315789474,17,17
52.49,13.38,17,66.33,3.901764705882353,16.591176470588238,12,16
52.49,13.385,43,201.01,4.674651162790697,22.639922511627905,38,43
52.49,13.39,89,382.0,4.292134831460674,16.724344595505617,57,73
52.49,13.395,77,447.11,5.806623376623377,18.826190493506495,62,66
52.49,13.4,25,142.76,5.7104,19.558,25,23
52.49,13.405000000000001,86,490.77,5.706627906976744,18.54360460465116,77,79
52.49,13.41,452,2418.42,5.350486725663717,16.58130532079646,305,366
52.49,13.415000000000001,259,1314.66,5.075907335907337,12.464800513513513,171,202
52.49,13.42,267,1288.5,4.825842696629214,13.15917602247191,185,223
52.49,13.425,840,3872.34,4.609928571428572,13.554642854761905,486,642
52.49,13.43,413,2241.19,5.426610169491526,13.258757050847459,294,340
52.49,13.435,415,2020.78,4.869349397590361,11.113895587951806,250,295
52.49,13.44,93,414.6,4.458064516129032,13.905555602150537,68,82
52.49,13.445,13,34.06,2.62,21.92948723076923,10,12
52.49,13.450000000000001,31,135.24,4.362580645161291,15.488172032258065,26,27
52.49,13.455,27,190.81,7.0670370370370375,13.204938333333333,19,24
52.49,13.46,40,199.44,4.986,19.804583325,37,39
