START_DATE,rides,riders,scooters,revenue,avg_price,avg_duration,avg_distance,rides_7d,rides_28d,revenue_7d,revenue_28d,riders_7d
2019-09-07,2362,1482,1082,13641.77,5.7755165114309905,13.202773068585945,1.0923878069432684,1943.857142857143,2346.0714285714284,11194.661428571428,13359.647857142858,1284.142857142857
2019-09-08,2063,1396,970,11778.29,5.709301987396995,14.384205842947164,1.1709258361609307,1925.0,2290.8928571428573,11142.192857142858,13098.503571428573,1266.857142857143
2019-09-09,947,636,609,5642.61,5.958405491024287,11.153695903907074,0.9384371700105597,1838.7142857142858,2232.8214285714284,10620.748571428572,12795.155714285715,1213.4285714285713
2019-09-10,1481,995,830,8825.22,5.958960162052667,12.68360342606347,1.0451046590141795,1808.4285714285713,2204.0,10533.497142857143,12632.56,1208.2857142857142
2019-09-11,1623,1017,880,9568.77,5.895730129390019,12.288837526186075,1.0371102895871842,1789.5714285714287,2177.6428571428573,10446.825714285715,12493.682142857142,1181.142857142857
2019-09-12,1514,1041,839,8861.48,5.853025099075297,12.564542052840158,1.0149735799207398,1760.857142857143,2133.8928571428573,10239.181428571426,12253.5,1161.4285714285713
2019-09-13,1831,1251,963,10392.77,5.67600764609503,12.416948844893502,1.0307318405243036,1688.7142857142858,2084.3214285714284,9815.844285714285,11964.921428571428,1116.857142857143
2019-09-14,2221,1470,1060,12011.47,5.408135974786132,13.679010972084647,1.0263619990995048,1668.5714285714287,2033.0357142857142,9582.944285714286,11683.986785714285,1115.142857142857
2019-09-15,1530,1101,827,8213.61,5.368372549019608,15.240566449673203,1.1035882352941178,1592.4285714285713,2006.0357142857142,9073.704285714286,11533.686428571427,1073.0
2019-09-16,1136,777,673,6431.14,5.661214788732394,12.140302229753521,0.8860299295774647,1619.4285714285713,1971.892857142857,9186.351428571428,11320.453214285715,1093.142857142857
2019-09-17,964,678,581,5761.72,5.97688796680498,11.60444327593361,0.841856846473029,1545.5714285714287,1927.6785714285713,8748.708571428571,11076.010357142857,1047.857142857143
2019-09-18,1335,835,755,7406.14,5.547670411985019,12.30897628314607,0.8885543071161048,1504.4285714285713,1899.5,8439.761428571428,10901.341428571428,1021.8571428571429
2019-09-19,1299,885,724,7502.11,5.775296381832178,11.848216571978446,0.9863279445727483,1473.7142857142858,1874.892857142857,8245.565714285714,10742.423928571428,999.5714285714286
2019-09-20,1784,1261,872,10328.56,5.789551569506727,12.08150224383408,0.983127802690583,1467.0,1853.607142857143,8236.392857142857,10628.413928571428,1001.0
2019-09-21,2274,1519,982,12149.51,5.342792436235708,14.661690123570798,1.0733948988566404,1474.5714285714287,1831.1785714285713,8256.112857142858,10469.695714285714,1008.0
2019-09-22,7437,3329,1373,28549.91,3.838901438752185,14.5779324090359,0.8492174263816055,2318.4285714285716,2011.2142857142858,11161.298571428571,10998.352857142858,1326.2857142857142
2019-09-23,1222,843,558,6608.37,5.407831423895254,14.369803594108019,0.9842307692307692,2330.714285714286,1993.25,11186.617142857143,10889.796071428573,1335.7142857142858
2019-09-24,1381,986,672,7929.63,5.741947863866764,12.866171851556842,0.9284648805213613,2390.285714285714,1968.5,11496.318571428574,10740.007857142858,1379.7142857142858
2019-09-25,1223,871,673,6720.83,5.495363859362224,12.630893963205233,0.9274897792313982,2374.285714285714,1940.357142857143,11398.417142857143,10554.703928571427,1384.857142857143
2019-09-26,1482,1037,723,8268.0,5.578947368421052,14.24621006680162,1.025161943319838,2400.4285714285716,1922.107142857143,11507.83,10430.078214285715,1406.5714285714287
2019-09-27,1017,707,569,5585.91,5.492536873156342,13.050245812192722,0.9232448377581121,2290.8571428571427,1870.5,10830.308571428572,10126.435,1327.4285714285713
2019-09-28,1250,925,605,6917.09,5.533672,14.1394000144,1.0241280000000001,2144.5714285714284,1807.892857142857,10082.820000000002,9779.134642857141,1242.5714285714287
2019-09-29,792,588,451,4612.0,5.8232323232323235,13.78148148989899,0.9887247474747476,1195.2857142857142,1757.7857142857142,6663.118571428572,9510.078571428572,851.0
2019-09-30,817,545,492,4513.24,5.524161566707466,12.108833123623011,0.8914320685434516,1137.4285714285713,1731.5714285714287,6363.814285714286,9339.382857142857,808.4285714285714
2019-10-01,1016,703,551,5938.22,5.844704724409449,11.190633206692914,0.8920964566929134,1085.2857142857142,1707.392857142857,6079.327142857143,9214.462857142857,768.0
2019-10-02,1310,860,663,7551.6,5.764580152671756,10.953994917557251,0.8280229007633588,1097.7142857142858,1691.5,6198.0085714285715,9120.753214285714,766.4285714285714
2019-10-03,1149,811,566,6134.13,5.338668407310705,14.039701181026981,0.9606962576153176,1050.142857142857,1671.2857142857142,5893.17,8971.436785714286,734.1428571428571
2019-10-04,894,549,504,4654.43,5.2062975391498885,11.119686807606264,0.7802684563758389,1032.5714285714287,1619.7857142857142,5760.101428571429,8660.661785714286,711.5714285714286
2019-10-05,1118,783,543,5824.31,5.209579606440072,14.624642228980322,0.9718515205724508,1013.7142857142857,1575.357142857143,5603.99,8381.466785714287,691.2857142857143
2019-10-06,951,683,505,5315.38,5.589253417455311,13.996144405888538,0.9494006309148265,1036.4285714285713,1535.642857142857,5704.472857142857,8150.648571428572,704.8571428571429
2019-10-07,82,78,68,604.61,7.373292682926829,8.553252060975609,0.9360975609756098,931.4285714285714,1504.75,5146.097142857143,7970.72,638.1428571428571
