START_DATE,rides,riders,scooters,revenue,avg_price,avg_duration,avg_distance
2019-09-17,964,678,581,5761.72,5.97688796680498,11.60444327593361,0.841856846473029
2019-09-18,1335,835,755,7406.14,5.547670411985019,12.30897628314607,0.8885543071161048
2019-09-19,1299,885,724,7502.11,5.775296381832178,11.848216571978446,0.9863279445727483
2019-09-20,1784,1261,872,10328.56,5.789551569506727,12.08150224383408,0.983127802690583
2019-09-21,2274,1519,982,12149.51,5.342792436235708,14.661690123570798,1.0733948988566404
2019-09-22,7437,3329,1373,28549.91,3.838901438752185,14.5779324090359,0.8492174263816055
2019-09-23,1222,843,558,6608.37,5.407831423895254,14.369803594108019,0.9842307692307692
2019-09-24,1381,986,672,7929.63,5.741947863866764,12.866171851556842,0.9284648805213613
2019-09-25,1223,871,673,6720.83,5.495363859362224,12.630893963205233,0.9274897792313982
2019-09-26,1482,1037,723,8268.0,5.578947368421052,14.24621006680162,1.025161943319838
2019-09-27,1017,707,569,5585.91,5.492536873156342,13.050245812192722,0.9232448377581121
2019-09-28,1250,925,605,6917.09,5.533672,14.1394000144,1.0241280000000001
2019-09-29,792,588,451,4612.0,5.8232323232323235,13.78148148989899,0.9887247474747476
2019-09-30,817,545,492,4513.24,5.524161566707466,12.108833123623011,0.8914320685434516
2019-10-01,1016,703,551,5938.22,5.844704724409449,11.190633206692914,0.8920964566929134
2019-10-02,1310,860,663,7551.6,5.764580152671756,10.953994917557251,0.8280229007633588
2019-10-03,1149,811,566,6134.13,5.338668407310705,14.039701181026981,0.9606962576153176
2019-10-04,894,549,504,4654.43,5.2062975391498885,11.119686807606264,0.7802684563758389
2019-10-05,1118,783,543,5824.31,5.209579606440072,14.624642228980322,0.9718515205724508
2019-10-06,951,683,505,5315.38,5.589253417455311,13.996144405888538,0.9494006309148265
2019-10-07,82,78,68,604.61,7.373292682926829,8.553252060975609,0.9360975609756098
