lat_bin,lon_bin,rides,revenue,avg_price,avg_duration,unique_scooters,unique_users,ends,net_flow
52.475,13.41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.475,13.415000000000001,1.0,4.83,4.83,34.8,1.0,1.0,1.0,0.0
52.475,13.42,56.0,186.19,3.3248214285714286,15.876488125,33.0,48.0,67.0,11.0
52.475,13.425,44.0,167.99,3.817954545454546,24.49924234090909,39.0,35.0,65.0,21.0
52.475,13.43,37.0,103.47,2.7964864864864865,20.008558540540538,31.0,32.0,22.0,-15.0
52.475,13.435,7.0,20.91,2.987142857142857,18.073809285714287,7.0,6.0,6.0,-1.0
52.475,13.44,53.0,232.26,4.382264150943396,16.364465377358492,41.0,48.0,36.0,-17.0
52.475,13.445,46.0,213.71,4.645869565217391,12.039130391304347,34.0,38.0,42.0,-4.0
52.475,13.450000000000001,32.0,204.8,6.4,14.07968753125,28.0,30.0,35.0,3.0
52.475,13.455,60.0,271.36,4.522666666666667,12.1466666,37.0,55.0,64.0,4.0
52.475,13.46,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
52.475,13.465,4.0,17.33,4.3325,12.5625,3.0,3.0,12.0,8.0
52.475,13.48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.475,13.485,1.0,20.9,20.9,0.45,1.0,1.0,1.0,0.0
52.475,13.51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.480000000000004,13.280000000000001,1.0,11.57,11.57,18.2,1.0,1.0,1.0,0.0
52.480000000000004,13.295,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.480000000000004,13.305,1.0,6.05,6.05,20.183333,1.0,1.0,1.0,0.0
52.480000000000004,13.315,2.0,7.460000000000001,3.7300000000000004,40.7333335,2.0,2.0,2.0,0.0
52.480000000000004,13.32,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
52.480000000000004,13.325000000000001,1.0,14.43,14.43,8.35,1.0,1.0,1.0,0.0
52.480000000000004,13.33,6.0,25.53,4.255,28.500000166666666,4.0,6.0,13.0,7.0
52.480000000000004,13.335,2.0,22.65,11.325,27.716667,2.0,2.0,2.0,0.0
52.480000000000004,13.34,1.0,6.85,6.85,50.0,1.0,1.0,2.0,1.0
52.480000000000004,13.345,14.0,65.18,4.655714285714287,21.847619142857145,13.0,13.0,13.0,-1.0
52.480000000000004,13.35,25.0,134.43,5.3772,9.546,21.0,19.0,26.0,1.0
52.480000000000004,13.355,256.0,1115.4,4.35703125,7.005403640625,221.0,72.0,195.0,-61.0
52.480000000000004,13.36,6670.0,18234.15,2.7337556221889057,2.9196751670164915,1886.0,84.0,6825.0,155.0
52.480000000000004,13.365,5.0,35.769999999999996,7.153999999999999,4.2233334,4.0,4.0,6.0,1.0
52.480000000000004,13.375,1.0,12.02,12.02,23.0,1.0,1.0,1.0,0.0
52.480000000000004,13.385,4.0,23.9,5.975,24.174999999999997,4.0,4.0,8.0,4.0
52.480000000000004,13.405000000000001,3.0,22.75,7.583333333333333,17.25,3.0,3.0,7.0,4.0
52.480000000000004,13.41,16.0,72.27,4.516875,28.71875,15.0,16.0,9.0,-7.0
52.480000000000004,13.415000000000001,21.0,110.55,5.264285714285714,24.011111142857143,20.0,21.0,12.0,-9.0
52.480000000000004,13.42,84.0,362.41,4.314404761904762,17.448611107142856,61.0,75.0,75.0,-9.0
52.480000000000004,13.425,517.0,2377.88,4.599381044487427,21.67562860928433,356.0,399.0,514.0,-3.0
52.480000000000004,13.43,231.0,1044.24,4.52051948051948,14.982900428571428,162.0,182.0,294.0,63.0
52.480000000000004,13.435,853.0,3657.15,4.287397420867526,15.465416178194607,511.0,637.0,711.0,-142.0
52.480000000000004,13.44,787.0,3899.45,4.9548284625158825,13.706840330368488,473.0,570.0,731.0,-56.0
52.480000000000004,13.445,75.0,385.41,5.138800000000001,14.524222186666666,66.0,64.0,90.0,15.0
52.480000000000004,13.450000000000001,44.0,176.2,4.004545454545454,17.57689393181818,31.0,41.0,48.0,4.0
52.480000000000004,13.455,4.0,19.7,4.925,33.2875,4.0,4.0,5.0,1.0
52.480000000000004,13.475,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.480000000000004,13.485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.480000000000004,13.495000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.480000000000004,13.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.485,13.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
52.485,13.315,2.0,7.63,3.815,65.275,2.0,2.0,3.0,1.0
52.485,13.32,10.0,71.61,7.161,16.066666700000003,8.0,10.0,16.0,6.0
52.485,13.325000000000001,17.0,96.03999999999999,5.6494117647058815,17.28431370588235,16.0,17.0,20.0,3.0
52.485,13.33,19.0,97.57,5.1352631578947365,24.901754526315788,18.0,16.0,23.0,4.0
52.485,13.335,14.0,19.490000000000002,1.3921428571428573,19.97023807142857,6.0,10.0,12.0,-2.0
52.485,13.34,1.0,3.07,3.07,12.816667,1.0,1.0,3.0,2.0
